Geo Point;Geo Shape;gml_id;id;nom;code_insee;nom_com;longitude;latitude
48.49568704139274, -2.7753758309652006;"{""coordinates"": [-2.775375830965201, 48.49568704139274], ""type"": ""Point""}";arret_logique_reseau_breizhgo_car.D221500643;D221500643;Villes Moisan;22215;Ploufragan;-2.7753568;48.495712
47.713813312456594, -2.214986967813487;"{""coordinates"": [-2.214986967813487, 47.713813312456594], ""type"": ""Point""}";arret_logique_reseau_breizhgo_car.D562000199;D562000199;Église;56154;Peillac;-2.214935;47.71373
48.12750262445827, -2.156766547078868;"{""coordinates"": [-2.156766547078868, 48.12750262445827], ""type"": ""Point""}";arret_logique_reseau_breizhgo_car.D35MUECE1;D35MUECE1;Muel /Centre;35201;Muel;-2.15669;48.1275
48.579106310498545, -4.037696468950179;"{""coordinates"": [-4.037696468950179, 48.579106310498545], ""type"": ""Point""}";arret_logique_reseau_breizhgo_car.D29504604;D29504604;Bourg Rue du Gueven;29210;Plouvorn;-4.0377345;48.5791
48.49212994687874, -4.501517212879771;"{""coordinates"": [-4.501517212879771, 48.49212994687874], ""type"": ""Point""}";arret_logique_reseau_breizhgo_car.D29500220;D29500220;Aire du Lac;29015;Bourg-Blanc;-4.50182;48.49211
48.27517478477966, -1.7923449341870732;"{""coordinates"": [-1.792344934187073, 48.27517478477966], ""type"": ""Point""}";arret_logique_reseau_breizhgo_car.D35SSYPOIN1;D35SSYPOIN1;Saint-Symphorien/ La Retière;35317;Saint-Symphorien;-1.79228;48.2752
48.5187999990496, -1.9091399999999963;"{""coordinates"": [-1.90914, 48.5187999990496], ""type"": ""Point""}";arret_logique_reseau_breizhgo_car.D35ARCOM@MIMSAB;D35ARCOM@MIMSAB;Miniac-Morvan Saboterie;35179;Miniac-Morvan;-1.90914;48.5188
48.11607996014706, -4.0859410383000325;"{""coordinates"": [-4.085941038300033, 48.11607996014706], ""type"": ""Point""}";arret_logique_reseau_breizhgo_car.D29505109;D29505109;La gare;29229;Quéménéven;-4.085941;48.11608
47.941871039217396, -4.343521265011401;"{""coordinates"": [-4.343521265011401, 47.941871039217396], ""type"": ""Point""}";arret_logique_reseau_breizhgo_car.D29504756;D29504756;Jarnellou;29214;Plovan;-4.3434453;47.941925
48.62054509489716, -2.264597175911665;"{""coordinates"": [-2.264597175911665, 48.62054509489716], ""type"": ""Point""}";arret_logique_reseau_breizhgo_car.D221501066;D221501066;ST CAST La Touche;22282;Saint-Cast-le-Guildo;-2.2648222;48.62051
48.44399500389287, -2.6908425242095664;"{""coordinates"": [-2.690842524209566, 48.44399500389287], ""type"": ""Point""}";arret_logique_reseau_breizhgo_car.D221500910;D221500910;Hôpital;22258;Quessoy;-2.6906748;48.44406
48.506799999049505, -1.8884399999999921;"{""coordinates"": [-1.88844, 48.506799999049505], ""type"": ""Point""}";arret_logique_reseau_breizhgo_car.D35ARCOM@MIMBUTT;D35ARCOM@MIMBUTT;Miniac-Morvan La Butte;35179;Miniac-Morvan;-1.88844;48.5068
48.13699915353264, -1.9476560538463175;"{""coordinates"": [-1.947656053846317, 48.13699915353264], ""type"": ""Point""}";arret_logique_reseau_breizhgo_car.D35M/MPARK2;D35M/MPARK2;Montfort sur Meu /Parking Foch;35188;Montfort-sur-Meu;-1.94758;48.137
47.82099721564531, -4.2639566918000265;"{""coordinates"": [-4.263956691800026, 47.82099721564531], ""type"": ""Point""}";arret_logique_reseau_breizhgo_car.D29506228;D29506228;Château d'eau;29284;Treffiagat;-4.2639565;47.820995
48.78626309946852, -3.10566047998562;"{""coordinates"": [-3.10566047998562, 48.78626309946852], ""type"": ""Point""}";arret_logique_reseau_breizhgo_car.D221500340;D221500340;Mairie;22127;Lézardrieux;-3.105599;48.78621
